127.0.0.1 - - [24/Jan/2025:15:06:04 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:06:05 +0900] "GET /jsp01/test01.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:06:05 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:08:22 +0900] "GET /jsp01/test01.jsp HTTP/1.1" 200 167
192.168.80.18 - - [24/Jan/2025:15:08:47 +0900] "GET /jsp01/test01.jsp HTTP/1.1" 200 167
192.168.80.18 - - [24/Jan/2025:15:08:47 +0900] "GET /favicon.ico HTTP/1.1" 404 819
192.168.80.14 - - [24/Jan/2025:15:08:52 +0900] "GET /jsp01/test01.jsp HTTP/1.1" 200 167
192.168.80.14 - - [24/Jan/2025:15:08:52 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:14:03 +0900] "GET /jsp01/test01.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:14:28 +0900] "GET /jsp01/test01.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:16:39 +0900] "GET /jsp01/test01.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:19:15 +0900] "GET /jsp01/test01.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:25:29 +0900] "GET /jsp01/test01.jsp HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:32:15 +0900] "GET /jsp01/join.html HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:32:29 +0900] "GET /jsp01/join.jsp?id=hello&pwd=12341234 HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:39:25 +0900] "GET /jsp01/join.jsp HTTP/1.1" 500 2579
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:39:46 +0900] "GET /jsp01/join.html HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:40:13 +0900] "GET /jsp01/join.html HTTP/1.1" 200 789
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:41:27 +0900] "GET /jsp01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:41:27 +0900] "GET /jsp01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:41:27 +0900] "GET /jsp01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:41:50 +0900] "GET /jsp01/join.jsp?id=hello&pwd=aaaaaa&hobby=%EB%8F%85%EC%84%9C&hobby=%EC%98%81%ED%99%94&addr=%EB%B6%80%EC%82%B0 HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:44:51 +0900] "GET /jsp01/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:45:00 +0900] "GET /jsp01/join.jsp?id=ddddd&pwd=123456&hobby=%EB%8F%85%EC%84%9C&addr=%EC%84%9C%EC%9A%B8 HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:46:10 +0900] "GET /jsp01/join.html HTTP/1.1" 200 807
0:0:0:0:0:0:0:1 - - [24/Jan/2025:15:46:15 +0900] "GET /jsp01/join.jsp?id=asdfas&pwd=dsa&hobby=%EC%97%AC%ED%96%89&hobby=%EB%8F%85%EC%84%9C&addr=%EB%B6%80%EC%82%B0 HTTP/1.1" 200 267
